sku_id,date,our_new_price,competitor_price_x,adjusted_price
SKU00057,2024-01-01,399.64,601.36,399.64
SKU00057,2024-01-02,399.64,556.3,399.64
SKU00057,2024-01-03,399.64,534.67,399.64
SKU00057,2024-01-04,399.64,559.3,399.64
SKU00057,2024-01-05,399.64,547.97,399.64
SKU00057,2024-01-06,399.64,562.02,399.64
SKU00057,2024-01-07,399.64,580.7,399.64
SKU00057,2024-01-08,399.64,586.6,399.64
SKU00057,2024-01-09,399.64,551.86,399.64
SKU00057,2024-01-10,399.64,576.25,399.64
SKU00057,2024-01-11,399.64,508.35,399.64
SKU00057,2024-01-12,399.64,563.73,399.64
SKU00057,2024-01-13,399.64,542.25,399.64
SKU00057,2024-01-14,399.64,589.72,399.64
SKU00057,2024-01-15,399.64,521.68,399.64
SKU00057,2024-01-16,399.64,479.31,399.64
SKU00057,2024-01-17,399.64,564.34,399.64
SKU00057,2024-01-18,399.64,505.44,399.64
SKU00057,2024-01-19,399.64,569.81,399.64
SKU00057,2024-01-20,399.64,562.55,399.64
SKU00057,2024-01-21,399.64,564.89,399.64
SKU00057,2024-01-22,399.64,564.89,399.64
SKU00057,2024-01-23,399.64,567.79,399.64
SKU00057,2024-01-24,399.64,576.45,399.64
SKU00057,2024-01-25,399.64,565.49,399.64
SKU00057,2024-01-26,399.64,546.1,399.64
SKU00057,2024-01-27,399.64,542.16,399.64
SKU00057,2024-01-28,399.64,620.84,399.64
SKU00057,2024-01-29,399.64,538.82,399.64
SKU00057,2024-01-30,399.64,540.89,399.64
SKU00057,2024-01-31,399.64,510.79,399.64
SKU00057,2024-02-01,399.64,530.63,399.64
SKU00057,2024-02-02,399.64,577.21,399.64
SKU00057,2024-02-03,399.64,540.38,399.64
SKU00057,2024-02-04,399.64,527.17,399.64
SKU00057,2024-02-05,399.64,532.34,399.64
SKU00057,2024-02-06,399.64,563.73,399.64
SKU00057,2024-02-07,399.64,512.31,399.64
SKU00057,2024-02-08,399.64,563.9,399.64
SKU00057,2024-02-09,399.64,544.24,399.64
SKU00057,2024-02-10,399.64,523.17,399.64
SKU00057,2024-02-11,399.64,629.17,399.64
SKU00057,2024-02-12,399.64,510.19,399.64
SKU00057,2024-02-13,399.64,535.23,399.64
SKU00057,2024-02-14,399.64,570.45,399.64
SKU00057,2024-02-15,399.64,551.35,399.64
SKU00057,2024-02-16,399.64,519.48,399.64
SKU00057,2024-02-17,399.64,539.41,399.64
