sku_id,date,units_sold,our_price,competitor_price,category
SKU00675,2024-01-01,4,256.21,255.25,Home & Living
SKU00675,2024-01-02,2,256.21,252.37,Home & Living
SKU00675,2024-01-03,1,256.21,256.85,Home & Living
SKU00675,2024-01-04,1,256.21,271.21,Home & Living
SKU00675,2024-01-05,2,256.21,285.93,Home & Living
SKU00675,2024-01-06,1,256.21,263.87,Home & Living
SKU00675,2024-01-07,3,256.21,258.91,Home & Living
SKU00675,2024-01-08,5,256.21,242.83,Home & Living
SKU00675,2024-01-09,2,256.21,266.38,Home & Living
SKU00675,2024-01-10,1,256.21,266.72,Home & Living
SKU00675,2024-01-11,3,256.21,258.14,Home & Living
SKU00675,2024-01-12,2,256.21,282.42,Home & Living
SKU00675,2024-01-13,5,256.21,271.06,Home & Living
SKU00675,2024-01-14,2,256.21,253.54,Home & Living
SKU00675,2024-01-15,2,256.21,263.11,Home & Living
SKU00675,2024-01-16,1,256.21,269.25,Home & Living
SKU00675,2024-01-17,4,256.21,275.64,Home & Living
SKU00675,2024-01-18,3,256.21,264.33,Home & Living
SKU00675,2024-01-19,4,256.21,247.09,Home & Living
SKU00675,2024-01-20,3,256.21,246.33,Home & Living
SKU00675,2024-01-21,1,256.21,253.68,Home & Living
SKU00675,2024-01-22,1,256.21,264.01,Home & Living
SKU00675,2024-01-23,1,256.21,263.08,Home & Living
SKU00675,2024-01-24,2,256.21,261.41,Home & Living
SKU00675,2024-01-25,1,256.21,253.87,Home & Living
SKU00675,2024-01-26,3,256.21,252.98,Home & Living
SKU00675,2024-01-27,2,256.21,258.03,Home & Living
SKU00675,2024-01-28,1,256.21,287.07,Home & Living
SKU00675,2024-01-29,4,256.21,268.49,Home & Living
SKU00675,2024-01-30,1,256.21,248.78,Home & Living
SKU00675,2024-01-31,3,256.21,275.02,Home & Living
SKU00675,2024-02-01,4,256.21,245.39,Home & Living
SKU00675,2024-02-02,3,256.21,263.6,Home & Living
SKU00675,2024-02-03,1,256.21,249.24,Home & Living
SKU00675,2024-02-04,3,256.21,240.29,Home & Living
SKU00675,2024-02-05,5,256.21,251.13,Home & Living
SKU00675,2024-02-06,2,256.21,274.32,Home & Living
SKU00675,2024-02-07,3,256.21,246.85,Home & Living
SKU00675,2024-02-08,3,256.21,239.06,Home & Living
SKU00675,2024-02-09,5,256.21,265.38,Home & Living
SKU00675,2024-02-10,1,256.21,247.98,Home & Living
SKU00675,2024-02-11,1,256.21,231.09,Home & Living
SKU00675,2024-02-12,2,256.21,269.05,Home & Living
SKU00675,2024-02-13,2,256.21,262.49,Home & Living
SKU00675,2024-02-14,2,256.21,255.36,Home & Living
SKU00675,2024-02-15,1,256.21,272.16,Home & Living
SKU00675,2024-02-16,2,256.21,259.09,Home & Living
SKU00675,2024-02-17,3,256.21,260.11,Home & Living
